Sentiment Threshold,Memory Window Size,N-gram Range,Accuracy (%),Avg Response Time (ms)
0.4,2,"(1, 1)",61.54,0.03
0.4,2,"(1, 2)",61.54,0.03
0.4,2,"(2, 2)",35.9,0.03
0.4,5,"(1, 1)",61.54,0.01
0.4,5,"(1, 2)",61.54,0.03
0.4,5,"(2, 2)",35.9,0.03
0.4,10,"(1, 1)",61.54,0.01
0.4,10,"(1, 2)",61.54,0.03
0.4,10,"(2, 2)",35.9,0.01
0.5,2,"(1, 1)",61.54,0.01
0.5,2,"(1, 2)",61.54,0.01
0.5,2,"(2, 2)",35.9,0.01
0.5,5,"(1, 1)",61.54,0.01
0.5,5,"(1, 2)",61.54,0.03
0.5,5,"(2, 2)",35.9,0.01
0.5,10,"(1, 1)",61.54,0.0
0.5,10,"(1, 2)",61.54,0.03
0.5,10,"(2, 2)",35.9,0.01
0.6,2,"(1, 1)",61.54,0.03
0.6,2,"(1, 2)",61.54,0.03
0.6,2,"(2, 2)",35.9,0.03
0.6,5,"(1, 1)",61.54,0.01
0.6,5,"(1, 2)",61.54,0.03
0.6,5,"(2, 2)",35.9,0.01
0.6,10,"(1, 1)",61.54,0.01
0.6,10,"(1, 2)",61.54,0.03
0.6,10,"(2, 2)",35.9,0.01
