text,label
bruh this is straight trash,negative
broooo I'm losing it fr,negative
quick question: this normal?,neutral
broooo y'all killed it,positive
ya'll really dropped the ball,negative
fr this helped a ton,positive
"sup, got a small issue",neutral
this thing clutch af,positive
lmfao still broken smh,negative
works perfect now fam,positive
W devs,positive
thank u sm,positive
can someone explain this part?,neutral
nah fam this broke again,negative
yo appreciate the fix,positive
so mid it hurts,negative
literally the worst lol,negative
man this some hot garbage,negative
yooo this app fire ,positive
on god this is terrible,negative
love y'all for this,positive
smh this never gets fixed,negative
how I change my password again?,neutral
y'all did good,positive
ay where the settings at?,neutral
vibes immaculate rn,positive
hell nah I'm done,negative
yo what's the next step here?,neutral
can't believe y'all shipped this,negative
lowkey don't get it,neutral
anyone else gettin this?,neutral
can't trust this app no more,negative
this thing updated or nah?,neutral
big dub,positive
this app be wildin,negative
idk if I did this right,neutral
lowkey this kinda nice,positive
sheeeesh this smooth af,positive
tryna figure this out,neutral
deadass confused rn,neutral
"ayy this fixed it, nice!",positive
yo wtf is this even doing,negative
yo can I get some help here?,neutral
deadass the worst app ever,negative
bet that worked!,positive
uhhh I think it froze,neutral
yo how to fix this?,neutral
bruh how do I do this?,neutral
"mad respect, it's working!",positive
srsly? this buggy af,negative
not sure what's going on tbh,neutral
straight up not workin,negative
"W update, no cap",positive
hey quick q...,neutral
why it gotta be like this smh,negative
ngl this goated fr,positive
bro I'm boutta delete this,negative
just checkin in fr,neutral
this legit awesome,positive
my guy where the option at?,neutral
